startSen,endSen,Sentence,Next_Sentence,Cosine_Similarity
0,150,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us,0.99889356
1,151,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No,0.9995104
2,152,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No,1.0000002
3,153,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you,0.998753
4,154,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you,0.9999999
5,155,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you,0.9999999
6,156,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you,0.9999999
7,157,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you,0.9999999
8,158,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you,0.9999999
9,159,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you,the basic layout bookstore Cafe almost everything else is here too who are the people projections of my subconscious yours yes remember you are the dreamer you build this world I am the subject my mind populates you can literally talk to my subconscious that's one of the ways we extract information from the subject how else do  you do  it like creating something secure like a like a bank fault or a jail the Mind automatically fills it with information it's trying to protect understand then you break in and steal it well I guess I thought that the dream space would be all about the visual but it's more about the feel of it my question is what happens when you start messing with the physics of it all something isn't it yes it is why are they all looking at me cuz my subconscious feels that someone else is creating this world the more you change things quicker the projections start to converge on you converge they sense the foreign nature of the dreamer they attack like white blood cells fighting an infection they're going to attack us No just you this  is great but I'm,0.9933287
